Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Datetime,Date
1325317920,4.39,4.39,4.39,4.39,0.45558087,2.0000000193,4.39,2011-12-31T07:52:00Z,2011-12-31
1332979200,4.93,4.93,4.93,4.93,6.11046281,30.124581653,4.93,2012-03-29T00:00:00Z,2012-03-29
1338508800,5.17,5.17,5.17,5.17,36.47458313,188.57359478,5.17,2012-06-01T00:00:00Z,2012-06-01
1344384000,10.75,10.75,10.75,10.75,4.00093023,43.009999972,10.75,2012-08-08T00:00:00Z,2012-08-08
1347321600,10.95,10.95,10.95,10.95,5,54.75,10.95,2012-09-11T00:00:00Z,2012-09-11
1347408000,11.04,11.04,11.04,11.04,0.81012735,8.943805944,11.04,2012-09-12T00:00:00Z,2012-09-12
1348012800,11.9,11.9,11.9,11.9,5.66412375,67.403072625,11.9,2012-09-19T00:00:00Z,2012-09-19
1353628800,11.86,11.86,11.86,11.86,9.10792581,108.02000011,11.86,2012-11-23T00:00:00Z,2012-11-23
1354492800,12.46,12.46,12.46,12.46,15.51107661,193.26801456,12.46,2012-12-03T00:00:00Z,2012-12-03
1355011200,13.35,13.35,13.3,13.3,0.150708,2.0081841,13.325,2012-12-09T00:00:00Z,2012-12-09
1357257600,13.12,13.12,13.12,13.12,3.19632614,41.935798957,13.12,2013-01-04T00:00:00Z,2013-01-04
1357344000,13.19,13.19,13.19,13.19,0.98,12.9262,13.19,2013-01-05T00:00:00Z,2013-01-05
1359244800,17.49,17.49,17.48,17.48,22.614668000000002,395.46493242,17.487098746,2013-01-27T00:00:00Z,2013-01-27
1359417600,18.6,18.6,18.6,18.6,100,1860,18.6,2013-01-29T00:00:00Z,2013-01-29
1359504000,19.46,19.46,19.46,19.46,2.598,50.55708,19.46,2013-01-30T00:00:00Z,2013-01-30
1360022400,20.3,20.3,20.3,20.3,48.61822661,986.95000018,20.3,2013-02-05T00:00:00Z,2013-02-05
1360281600,21.95,21.95,21.95,21.95,1.52300683,33.429999919,21.95,2013-02-08T00:00:00Z,2013-02-08
1360972800,27.43,27.43,27.43,27.43,5.28777737,145.04373326,27.43,2013-02-16T00:00:00Z,2013-02-16
1361318400,29.39,29.39,29.39,29.39,159.6,4690.644,29.39,2013-02-20T00:00:00Z,2013-02-20
1362009600,31.31,31.31,31.31,31.31,4.21204313,131.8790704,31.31,2013-02-28T00:00:00Z,2013-02-28
1362614400,42.31,42.31,42.31,42.31,300,12693,42.31,2013-03-07T00:00:00Z,2013-03-07
1362700800,41.68,41.68,41.68,41.68,2.7991,116.666488,41.68,2013-03-08T00:00:00Z,2013-03-08
1363219200,46.99,46.99,46.99,46.99,5.50542668,258.69999969,46.99,2013-03-14T00:00:00Z,2013-03-14
1363305600,46.95,46.95,46.95,46.95,1.5,70.425,46.95,2013-03-15T00:00:00Z,2013-03-15
1363392000,46.93,46.93,46.93,46.93,14.56168762,683.38000001,46.93,2013-03-16T00:00:00Z,2013-03-16
1364256000,74.3,74.3,74.3,74.3,1,74.3,74.3,2013-03-26T00:00:00Z,2013-03-26
1364860800,103.73,103.73,103.73,103.73,0.01446481,1.5004347413,103.73,2013-04-02T00:00:00Z,2013-04-02
1364947200,116,116,116,116,31.7132328,3678.7350048,116,2013-04-03T00:00:00Z,2013-04-03
1365033600,133.87,134.54,133.87,134.54,1.10063446,147.49794128,134.01174199,2013-04-04T00:00:00Z,2013-04-04
1365120000,134.67,134.67,134.67,134.67,4.70458,633.5657886,134.67,2013-04-05T00:00:00Z,2013-04-05
1365292800,141,141,141,141,22,3102,141,2013-04-07T00:00:00Z,2013-04-07
1365552000,228.94,228.94,227.61,227.61,36.84532068,8388.4647977,227.66703188,2013-04-10T00:00:00Z,2013-04-10
1365638400,162,162,162,162,3.49858026,566.77000212,162,2013-04-11T00:00:00Z,2013-04-11
1365811200,109.9,110,109.9,110,14.62455517,1607.5344314,109.9202275,2013-04-13T00:00:00Z,2013-04-13
